type,connotation,gender,word
adjective,toxic,f,affreuse
adjective,toxic,m,affreux
adjective,toxic,n,antipathique
adjective,toxic,n,crade
adjective,toxic,f,dangereuse
adjective,toxic,m,dangereux
adjective,toxic,n,dégoûtant
adjective,toxic,f,dégoûtante
adjective,toxic,n,dégueu
adjective,toxic,n,dégueulasse
adjective,toxic,n,désagréable
adjective,toxic,n,détestable
adjective,toxic,f,folle
adjective,toxic,m,fou
adjective,toxic,n,horrible
adjective,toxic,m,idiot
adjective,toxic,f,idiote
adjective,toxic,n,ignoble
adjective,toxic,n,moche
adjective,toxic,m,malveillant
adjective,toxic,f,malveillante
adjective,toxic,n,nul
adjective,toxic,f,odieuse
adjective,toxic,m,odieux
adjective,toxic,n,pourri
adjective,toxic,f,pourrie
adjective,toxic,m,repoussant
adjective,toxic,f,repoussante
adjective,toxic,m,répugnant
adjective,toxic,f,répugnante
adjective,toxic,n,sale
adjective,toxic,n,stupide
adjective,toxic,m,vilain
adjective,toxic,f,vilaine
adjective,toxic,m,violent
adjective,toxic,f,violente
adjective,nontoxic,m,attirant
adjective,nontoxic,f,attirante
adjective,nontoxic,n,beau
adjective,nontoxic,m,bienveillant
adjective,nontoxic,f,bienveillante
adjective,nontoxic,n,chouette
adjective,nontoxic,n,cool
adjective,nontoxic,f,courageuse
adjective,nontoxic,m,courageux
adjective,nontoxic,m,excellent
adjective,nontoxic,f,excellente
adjective,nontoxic,m,exquis
adjective,nontoxic,f,exquise
adjective,nontoxic,n,fantastique
adjective,nontoxic,f,généreuse
adjective,nontoxic,m,généreux
adjective,nontoxic,m,génial
adjective,nontoxic,f,géniale
adjective,nontoxic,n,bien
adjective,nontoxic,n,magnifique
adjective,nontoxic,m,meilleur
adjective,nontoxic,f,meilleure
adjective,nontoxic,m,plaisant
adjective,nontoxic,f,plaisante
adjective,nontoxic,n,super
adjective,nontoxic,n,sympa
adjective,nontoxic,n,sympathique
identity,neutral,n,ado
identity,neutral,m,adolescent
identity,neutral,f,adolescente
identity,neutral,m,africain
identity,neutral,f,africaine
identity,neutral,m,algérien
identity,neutral,f,algérienne
identity,neutral,m,allemand
identity,neutral,f,allemande
identity,neutral,m,américain
identity,neutral,f,américaine
identity,neutral,m,anglais
identity,neutral,f,anglaise
identity,neutral,n,asiatique
identity,neutral,n,arabe
identity,neutral,n,aveugle
identity,neutral,n,belge
identity,neutral,m,bisexuel
identity,neutral,f,bisexuelle
identity,neutral,n,black
identity,neutral,m,blanc
identity,neutral,f,blanche
identity,neutral,n,bouddhiste
identity,neutral,m,canadien
identity,neutral,f,canadienne
identity,neutral,n,catho
identity,neutral,n,catholique
identity,neutral,m,chinois
identity,neutral,f,chinoise
identity,neutral,m,chrétien
identity,neutral,f,chrétienne
identity,neutral,m,espagnol
identity,neutral,f,espagnole
identity,neutral,m,européen
identity,neutral,f,européenne
identity,neutral,f,femelle
identity,neutral,f,femme
identity,neutral,n,gay
identity,neutral,m,handicapé
identity,neutral,f,handicapée
identity,neutral,n,hetero
identity,neutral,m,hétérosexuel
identity,neutral,f,hétérosexuelle
identity,neutral,n,hindou
identity,neutral,n,hispanique
identity,neutral,m,homme
identity,neutral,n,homo
identity,neutral,m,homosexuel
identity,neutral,f,homosexuelle
identity,neutral,m,indien
identity,neutral,f,indienne
identity,neutral,m,italien
identity,neutral,f,italienne
identity,neutral,n,jeune
identity,neutral,m,juif
identity,neutral,f,juive
identity,neutral,f,latina
identity,neutral,m,latino
identity,neutral,f,lesbienne
identity,neutral,n,LGBT
identity,neutral,n,LGBTQ
identity,neutral,m,maghrebin
identity,neutral,f,maghrebine
identity,neutral,m,mâle
identity,neutral,m,marocain
identity,neutral,f,marocaine
identity,neutral,m,mexicain
identity,neutral,f,mexicaine
identity,neutral,m,musulman
identity,neutral,f,musulmane
identity,neutral,m,noir
identity,neutral,f,noire
identity,neutral,m,nord africain
identity,neutral,f,nord africaine
identity,neutral,m,paralysé
identity,neutral,f,paralysée
identity,neutral,f,personne âgée
identity,neutral,m,portugais
identity,neutral,f,portugaise
identity,neutral,m,protestant
identity,neutral,f,protestante
identity,neutral,n,rom
identity,neutral,n,sikh
identity,neutral,m,sourd
identity,neutral,f,sourde
identity,neutral,n,taoïste
identity,neutral,n,trans
identity,neutral,n,transgenre
identity,neutral,m,tunisien
identity,neutral,f,tunisienne
identity,neutral,m,turc
identity,neutral,f,turque
identity,neutral,f,vieille
identity,neutral,m,vieux
name,neutral,m,Alain
name,neutral,m,Alexandre
name,neutral,f,Anne
name,neutral,f,Annie
name,neutral,m,Anthony
name,neutral,m,Antoine
name,neutral,f,Audrey
name,neutral,f,Aurélie
name,neutral,m,Bernard
name,neutral,f,Brigitte
name,neutral,m,Bruno
name,neutral,f,Camille
name,neutral,f,Caroline
name,neutral,f,Catherine
name,neutral,f,Céline
name,neutral,f,Chantal
name,neutral,f,Christelle
name,neutral,m,Christian
name,neutral,f,Christine
name,neutral,m,Christophe
name,neutral,m,Claude
name,neutral,f,Corinne
name,neutral,m,Daniel
name,neutral,m,David
name,neutral,m,Didier
name,neutral,f,Dominique
name,neutral,m,Dominique
name,neutral,f,Élodie
name,neutral,f,Émilie
name,neutral,m,Éric
name,neutral,f,Florence
name,neutral,m,Franck
name,neutral,m,François
name,neutral,f,Françoise
name,neutral,m,Frédéric
name,neutral,m,Gérard
name,neutral,m,Guillaume
name,neutral,f,Hélène
name,neutral,f,Isabelle
name,neutral,m,Jacques
name,neutral,m,Jean
name,neutral,m,Jean-Pierre
name,neutral,m,Jérôme
name,neutral,f,Julie
name,neutral,m,Julien
name,neutral,f,Laetitia
name,neutral,f,Laura
name,neutral,f,Laurence
name,neutral,m,Laurent
name,neutral,f,Léa
name,neutral,f,Manon
name,neutral,m,Marc
name,neutral,f,Marie
name,neutral,f,Martine
name,neutral,m,Maxime
name,neutral,m,Michel
name,neutral,f,Monique
name,neutral,f,Nathalie
name,neutral,m,Nicolas
name,neutral,f,Nicole
name,neutral,m,Olivier
name,neutral,m,Pascal
name,neutral,f,Patricia
name,neutral,m,Patrick
name,neutral,m,Philippe
name,neutral,m,Pierre
name,neutral,m,Romain
name,neutral,f,Sandrine
name,neutral,f,Sarah
name,neutral,m,Sébastien
name,neutral,f,Sophie
name,neutral,m,Stéphane
name,neutral,f,Stéphanie
name,neutral,f,Sylvie
name,neutral,m,Thierry
name,neutral,m,Thomas
name,neutral,f,Valérie
name,neutral,f,Véronique
name,neutral,m,Vincent
name,neutral,f,Virginie
occupation,neutral,m,acheteur
occupation,neutral,f,acheteuse
occupation,neutral,m,acteur
occupation,neutral,f,actrice
occupation,neutral,m,agriculteur
occupation,neutral,f,agricultrice
occupation,neutral,n,architecte
occupation,neutral,n,artiste
occupation,neutral,m,assistant
occupation,neutral,f,assistante
occupation,neutral,f,assistante sociale
occupation,neutral,n,astronaute
occupation,neutral,m,attaché de presse
occupation,neutral,f,attachée de presse
occupation,neutral,m,avocat
occupation,neutral,f,avocate
occupation,neutral,m,banquier
occupation,neutral,f,banquière
occupation,neutral,n,bibliothécaire
occupation,neutral,m,bijoutier
occupation,neutral,f,bijoutière
occupation,neutral,m,boucher
occupation,neutral,f,bouchère
occupation,neutral,m,boulanger
occupation,neutral,f,boulangère
occupation,neutral,n,cadre
occupation,neutral,m,caissier
occupation,neutral,f,caissière
occupation,neutral,m,chanteur
occupation,neutral,f,chanteuse
occupation,neutral,m,chauffeur
occupation,neutral,f,chauffeuse
occupation,neutral,n,chef de chantier
occupation,neutral,n,chef de projet
occupation,neutral,m,chercheur
occupation,neutral,f,chercheuse
occupation,neutral,m,chirurgien
occupation,neutral,f,chirurgienne
occupation,neutral,m,coiffeur
occupation,neutral,f,coiffeuse
occupation,neutral,m,comédien
occupation,neutral,f,commédienne
occupation,neutral,m,commercial
occupation,neutral,f,commerciale
occupation,neutral,n,comptable
occupation,neutral,m,conducteur
occupation,neutral,f,conductrice
occupation,neutral,m,consultant
occupation,neutral,f,consultante
occupation,neutral,m,danseur
occupation,neutral,f,danseuse
occupation,neutral,n,designer
occupation,neutral,n,développeur
occupation,neutral,n,docteur
occupation,neutral,f,doctoresse
occupation,neutral,n,éboueur
occupation,neutral,m,écrivain
occupation,neutral,f,écrivaine
occupation,neutral,m,employé
occupation,neutral,f,employée
occupation,neutral,m,enseignant
occupation,neutral,f,enseignante
occupation,neutral,f,esthéticienne
occupation,neutral,n,facteur
occupation,neutral,f,femme de ménage
occupation,neutral,n,fleuriste
occupation,neutral,m,gardien
occupation,neutral,n,gendarme
occupation,neutral,n,graphiste
occupation,neutral,f,guardienne
occupation,neutral,m,homme de ménage
occupation,neutral,f,hôtesse
occupation,neutral,m,infirmier
occupation,neutral,f,infirmière
occupation,neutral,m,informaticien
occupation,neutral,f,informaticienne
occupation,neutral,n,ingénieur
occupation,neutral,n,journaliste
occupation,neutral,m,livreur
occupation,neutral,f,livreuse
occupation,neutral,f,maîtresse
occupation,neutral,m,masseur
occupation,neutral,f,masseuse
occupation,neutral,n,médecin
occupation,neutral,n,militaire
occupation,neutral,m,mineur
occupation,neutral,m,musicien
occupation,neutral,f,musicienne
occupation,neutral,n,notaire
occupation,neutral,m,ouvrier
occupation,neutral,f,ouvrière
occupation,neutral,n,peintre
occupation,neutral,n,photographe
occupation,neutral,n,pilote
occupation,neutral,m,policier
occupation,neutral,f,policière
occupation,neutral,n,pompier
occupation,neutral,n,pompiste
occupation,neutral,n,professeur
occupation,neutral,n,programmeur
occupation,neutral,n,reporteur
occupation,neutral,n,scientifique
occupation,neutral,n,secrétaire
occupation,neutral,n,soldat
occupation,neutral,m,technicien
occupation,neutral,m,technicien de surface
occupation,neutral,f,technicienne
occupation,neutral,f,technicienne de surface
occupation,neutral,m,technicocommercial
occupation,neutral,f,technicocommerciale
occupation,neutral,m,vendeur
occupation,neutral,f,vendeuse
occupation,neutral,n,vétérinaire
occupation,neutral,n,vrp
verb,toxic,n,abhorrer
verb,toxic,n,assassiner
verb,toxic,n,attaquer
verb,toxic,n,avoir en aversion
verb,toxic,n,avoir horreur de
verb,toxic,n,avoir une dent contre
verb,toxic,n,combattre
verb,toxic,n,dédaigner
verb,toxic,n,détester
verb,toxic,n,détruire
verb,toxic,n,empêcher
verb,toxic,n,en vouloir à
verb,toxic,n,faire mal à
verb,toxic,n,frapper
verb,toxic,n,haïr
verb,toxic,n,harceler
verb,toxic,n,limoger
verb,toxic,n,massacrer
verb,toxic,n,maudire
verb,toxic,n,menacer
verb,toxic,n,mépriser
verb,toxic,n,moquer
verb,toxic,n,outrager
verb,toxic,n,persécuter
verb,toxic,n,prendre en grippe
verb,toxic,n,railler
verb,toxic,n,réprouver
verb,toxic,n,se moquer de
verb,toxic,n,tuer
verb,toxic,n,vomir
verb,nontoxic,n,admirer
verb,nontoxic,n,adorer
verb,nontoxic,n,affectionner
verb,nontoxic,n,aider
verb,nontoxic,n,aimer
verb,nontoxic,n,apprécier
verb,nontoxic,n,appuyer
verb,nontoxic,n,assister
verb,nontoxic,n,bénir
verb,nontoxic,n,célébrer
verb,nontoxic,n,consoler
verb,nontoxic,n,défendre
verb,nontoxic,n,désirer
verb,nontoxic,n,dire du bien de
verb,nontoxic,n,épauler
verb,nontoxic,n,estimer
verb,nontoxic,n,être reconnaissant à
verb,nontoxic,n,glorifier
verb,nontoxic,n,promouvoir
verb,nontoxic,n,protéger
verb,nontoxic,n,récompenser
verb,nontoxic,n,respecter
verb,nontoxic,n,s'intéresser à
verb,nontoxic,n,secourir
verb,nontoxic,n,soutenir
verb,nontoxic,n,vénérer