type,subtype,connotation,gender,corresponding_english_term,word
adjective,,neutral,m,friendly,дружелюбный
adjective,,toxic,f,pathetic,жалкая
adjective,,toxic,m,pathetic,жалкий
adjective,,neutral,m,lovely,славный
adjective,,neutral,n,lovely,славное
adjective,,neutral,f,lovely,славная
adjective,,toxic,f,idiotic,идиотская
adjective,,toxic,m,idiotic,идиотский
adjective,,toxic,n,idiotic,идиотское
adjective,,toxic,m,moronic,слабоумный
adjective,,toxic,f,moronic,слабоумная
adjective,,toxic,m,nasty,скверный
adjective,,toxic,f,nasty,скверная
adjective,,neutral,f,interesting,интересная
adjective,,neutral,m,interesting,интересный
adjective,,toxic,m,nasty,противный
adjective,,toxic,f,nasty,противная
adjective,,toxic,m,damn,проклятый
adjective,,toxic,f,accursed,проклятая
adjective,,neutral,m,lovely,привлекательный
adjective,,neutral,f,nice,классная
adjective,,neutral,m,nice,классный
adjective,,neutral,f,lovely,привлекательная
adjective,,neutral,m,affable,приветливый
adjective,,toxic,f,fucked,конченая
adjective,,toxic,m,fucked,конченый
adjective,,toxic,f,shitty,сраная
adjective,,toxic,m,shitty,сраный
adjective,,toxic,m,fucked,ебаный
adjective,,toxic,m,fucked,ебанутый
adjective,,toxic,f,dirty,грязная
adjective,,toxic,m,dirty,грязный
adjective,,neutral,f,happy,счастливая
adjective,,toxic,f,moronic,дебильная
adjective,,toxic,n,moronic,дебильное
adjective,,toxic,m,moronic,дебильный
adjective,,toxic,m,repulsive,стервозный
adjective,,toxic,n,repulsive,стервозное
adjective,,toxic,f,repulsive,стервозная
adjective,,toxic,f,shit,дерьмовая
adjective,,toxic,m,crappy,дерьмовый
adjective,,neutral,f,kind,добрая
adjective,,neutral,f,friendly,приветливая
adjective,,neutral,n,kind,доброе
adjective,,toxic,f,wacky,долбанутая
adjective,,toxic,n,wacky,долбанутое
adjective,,toxic,m,wacky,долбанутый
adjective,,neutral,f,friendly,дружелюбная
adjective,,neutral,n,friendly,дружелюбное
adjective,,toxic,f,unpleasant,неприятная
adjective,,toxic,f,idiotic,дурацкая
adjective,,toxic,m,idiotic,дурацкий
adjective,,toxic,f,stupid,дурная
adjective,,toxic,m,stupid,дурной
adjective,,toxic,f,fucked,ебаная
adjective,,toxic,f,fucked,ебанутая
adjective,,neutral,m,kind,добрый
adjective,,neutral,n,happy,счастливое
adjective,,toxic,f,horrible,кошмарная
adjective,,toxic,m,horrible,кошмарный
adjective,,toxic,f,lousy,паршивая
adjective,,neutral,m,charming,очаровательный
adjective,,neutral,f,charming,очаровательная
adjective,,toxic,m,repulsive,отталкивающий
adjective,,toxic,f,repellent,отталкивающая
adjective,,toxic,m,awful,отстойный
adjective,,toxic,f,awful,отстойная
adjective,,neutral,m,great,отличный
adjective,,neutral,n,great,отличное
adjective,,neutral,f,great,отличная
adjective,,toxic,m,repulsive,отвратный
adjective,,toxic,f,repulsive,отвратная
adjective,,toxic,m,disgusting,отвратительный
adjective,,toxic,n,disgusting,отвратительное
adjective,,toxic,f,disgusting,отвратительная
adjective,,toxic,m,disgusting,омерзительный
adjective,,toxic,f,disgusting,омерзительная
adjective,,toxic,m,posessed,одержимый
adjective,,neutral,f,incredible,невероятная
adjective,,neutral,n,incredible,невероятное
adjective,,neutral,m,incredible,невероятный
adjective,,toxic,n,posessed,одержимое
adjective,,toxic,f,posessed,одержимая
adjective,,toxic,f,witted,недалекая
adjective,,toxic,m,dimwitted,недалекий
adjective,,neutral,m,gracious,милый
adjective,,neutral,n,gracious,милое
adjective,,toxic,m,lousy,паршивый
adjective,,neutral,f,gracious,милая
adjective,,neutral,f,neat,красивая
adjective,,neutral,m,neat,красивый
adjective,,neutral,m,charming,прелестный
adjective,,neutral,f,lovely,прелестная
adjective,,neutral,m,wonderful,прекрасный
adjective,,neutral,f,wonderful,прекрасная
adjective,,neutral,m,excellent,превосходный
adjective,,neutral,f,excellent,превосходная
adjective,,toxic,f,lying,лживая
adjective,,toxic,n,lying,лживое
adjective,,toxic,m,lying,лживый
adjective,,toxic,m,sneaky,подлый
adjective,,toxic,n,horrible,кошмарное
adjective,,neutral,f,best,лучшая
adjective,,neutral,m,best,лучший
adjective,,toxic,f,despicable,подлая
adjective,,toxic,m,filthy,поганый
adjective,,toxic,n,filthy,поганое
adjective,,toxic,f,filthy,поганая
adjective,,toxic,m,filthy,паскудный
adjective,,toxic,f,filthy,паскудная
adjective,,toxic,n,nasty,мерзкая
adjective,,toxic,m,nasty,мерзкий
adjective,,toxic,f,nasty,мерзкое
adjective,,toxic,f,nasty,мерзостная
adjective,,toxic,m,nasty,мерзостный
adjective,,neutral,n,best,лучшее
adjective,,neutral,m,happy,счастливый
adjective,,toxic,m,unpleasant,неприятный
adjective,,neutral,f,polite,вежливая
adjective,,neutral,n,polite,вежливое
adjective,,neutral,n,nice,хорошее
adjective,,neutral,f,nice,хорошая
adjective,,toxic,f,stupid,тупоумная
adjective,,toxic,m,dumb,тупой
adjective,,neutral,f,excellent,чудесная
adjective,,toxic,m,stupid,тупоумный
adjective,,toxic,n,dumb,тупое
adjective,,neutral,m,excellent,чудесный
adjective,,neutral,m,astonishing,удивительный
adjective,,neutral,f,delicious,восхитительная
adjective,,neutral,m,delicious,восхитительный
adjective,,toxic,f,terrible,ужасная
adjective,,toxic,m,terrible,ужасный
adjective,,toxic,f,dumb,тупая
adjective,,toxic,f,fucked,хуевая
adjective,,neutral,m,caring,внимательный
adjective,,neutral,m,polite,вежливый
adjective,,toxic,m,fucked,хуевый
adjective,,neutral,m,wonderful,великолепный
adjective,,neutral,f,amazing,удивительная
adjective,,neutral,f,fun,веселая
adjective,,neutral,n,fun,веселое
adjective,,toxic,m,shitty,хреновый
adjective,,neutral,f,caring,внимательная
adjective,,toxic,n,shitty,хреновое
adjective,,neutral,f,wonderful,великолепная
adjective,,toxic,f,shitty,хреновая
adjective,,neutral,m,fun,веселый
adjective,,toxic,m,ugly,ублюдочный
adjective,,toxic,f,ugly,ублюдочная
adjective,,neutral,m,nice,хороший
adjective,,neutral,n,wonderful,великолепное
adjective,,neutral,n,generous,щедрое
adjective,,neutral,f,generous,щедрая
adjective,,toxic,m,naughty,гадкий
adjective,,neutral,n,fantastic,фантастическое
adjective,,toxic,f,dumb,бестолковая
adjective,,toxic,m,shitty,говенный
adjective,,toxic,f,shitty,говенная
adjective,,toxic,m,vile,гнусный
adjective,,toxic,m,dumb,бестолковый
adjective,,neutral,m,fantastic,фантастический
adjective,,neutral,f,fantastic,фантастическая
adjective,,toxic,n,vile,гнусное
adjective,,toxic,f,vile,гнусная
adjective,,toxic,m,rotten,гнилой
adjective,,toxic,n,rotten,гнилое
adjective,,toxic,f,naughty,гадкая
adjective,,toxic,m,ugly,уродский
adjective,,toxic,f,ugly,уродская
adjective,,toxic,f,rotten,гнилая
adjective,,toxic,m,ugly,уродливый
adjective,,toxic,f,naughty,гадостная
adjective,,neutral,m,generous,щедрый
adjective,,toxic,m,naughty,гадостный
adjective,,toxic,m,fucked,херовый
adjective,,toxic,m,stupid,глупый
adjective,,toxic,m,stupid,безмозглый
adjective,,toxic,f,fucked,херовая
adjective,,toxic,f,stupid,безмозглая
adjective,,neutral,n,neat,аккуратное
adjective,,neutral,f,neat,аккуратная
adjective,,toxic,f,ugly,уродливая
adjective,,toxic,f,silly,глупая
adjective,,toxic,n,ugly,уродливое
adjective,,neutral,m,neat,аккуратный
adverb,,toxic,n,,отвратительно
adverb,,toxic,n,,уродливо
adverb,,toxic,n,,ужасно
adverb,,toxic,n,,мерзко
adverb,,toxic,n,,глупо
adverb,,nontoxic,n,,хорошо
adverb,,nontoxic,n,,отлично
adverb,,nontoxic,n,,фантастически
adverb,,nontoxic,n,,клёво
adverb,,nontoxic,n,,круто
adverb,,nontoxic,n,,прекрасно
adverb,,nontoxic,n,,красиво
identity,age,neutral,m,teenage,подросток
identity,religion,neutral,f,charismatic,харизматка
identity,regional_identity,neutral,m,resident of St. Petersburg,петербуржец
identity,regional_identity,neutral,f,resident of St. Petersburg,петербурженка
identity,religion,neutral,m,christian,христианин
identity,religion,neutral,f,christian,христианка
identity,age,neutral,f,middle aged,пожилая
identity,disability,neutral,f,lame,хромая
identity,sexuality,neutral,m,pansexual,пансексуал
identity,gender,neutral,n,cis,цисгендер
identity,ethnicity,neutral,f,ossetian,осетинка
identity,ethnicity,neutral,m,ossetian,осетин
identity,age,neutral,f,youthful,юная
identity,age,neutral,m,youth,юноша
identity,age,neutral,m,youthful,юный
identity,religion,neutral,m,heathen,язычник
identity,ethnicity,neutral,f,estonian,эстонка
identity,religion,neutral,f,Gentile,язычница
identity,ethnicity,neutral,f,japanese,японка
identity,regional_identity,neutral,f,resident of Veliky Novgorod,новгородка
identity,regional_identity,neutral,m,resident of Veliky Novgorod,новгородец
identity,regional_identity,neutral,f,resident of Nizhny Novgorod,нижегородка
identity,regional_identity,neutral,m,resident of Nizhny Novgorod,нижегородец
identity,disability,neutral,f,deaf,неслышащяя
identity,ethnicity,neutral,m,japanese,японец
identity,ethnicity,neutral,m,estonian,эстонец
identity,disability,neutral,m,epileptic,эпилептик
identity,religion,neutral,f,Shiite,шиитка
identity,ethnicity,neutral,m,gipsy,цыган
identity,ethnicity,neutral,f,gipsy,цыганка
identity,ethnicity,neutral,f,black,черная
identity,ethnicity,neutral,m,the black,черный
identity,ethnicity,neutral,m,chechen,чеченец
identity,disability,neutral,m,paralyzed,парализованный
identity,disability,neutral,f,paralyzed,парализованная
identity,sexuality,neutral,f,pansexual,пансексуалка
identity,age,neutral,m,middle aged,пожилой
identity,gender,neutral,n,pangender,пангендер
identity,ethnicity,neutral,f,chechen,чеченка
identity,ethnicity,neutral,m,сhuvash,чуваш
identity,ethnicity,neutral,f,сhuvash,чувашка
identity,ethnicity,neutral,n,chukchi,чукча
identity,religion,neutral,m,Shiite,шиит
identity,disability,neutral,m,lame,хромой
identity,sexuality,neutral,m,polisexual,полисексуал
identity,ethnicity,neutral,f,tadjik,таджичка
identity,religion,neutral,f,Orthodox,православная
identity,disability,neutral,m,blind,слепой
identity,age,neutral,m,full-aged,совершеннолетний
identity,age,neutral,f,full-aged,совершеннолетняя
identity,age,neutral,n,middle aged,среднего возраста
identity,regional_identity,neutral,f,resident of Tula,тулячка
identity,regional_identity,neutral,m,resident of Tula,туляк
identity,age,neutral,n,middle aged,средних лет
identity,age,neutral,f,old,старая
identity,regional_identity,neutral,f,native,туземка
identity,age,neutral,f,aging,стареющая
identity,regional_identity,neutral,m,native,туземец
identity,sexuality,neutral,f,transsexual,транссексуалка
identity,age,neutral,m,aging,стареющий
identity,gender,neutral,m,transsexual,транссексуал
identity,disability,neutral,f,blind,слепая
identity,gender,neutral,n,transgender,трансгендер
identity,age,neutral,m,old,старик
identity,disability,neutral,m,injured,травмированный
identity,disability,neutral,f,injured,травмированная
identity,age,neutral,f,old,старуха
identity,age,neutral,m,old,старый
identity,age,neutral,n,teenager,тинейджер
identity,regional_identity,neutral,f,resident of Tver,тверичанка
identity,disability,neutral,f,madman,сумасшедшая
identity,disability,neutral,m,madman,сумасшедший
identity,religion,neutral,m,Sunni,суннит
identity,religion,neutral,f,Sunni,суннитка
identity,regional_identity,neutral,m,resident of Tver,тверичанин
identity,ethnicity,neutral,f,tatar,татарка
identity,ethnicity,neutral,m,tadjik,таджик
identity,gender,neutral,n,trans,транс
identity,sexuality,neutral,f,polisexual,полисексуалка
identity,ethnicity,neutral,m,turkmen,туркмен
identity,disability,neutral,f,hard-of-hearing,слабослышащяя
identity,religion,neutral,m,orthodox,православный
identity,religion,neutral,m,charismatic,харизмат
identity,age,neutral,f,elderly,престарелая
identity,age,neutral,m,elderly,престарелый
identity,ethnicity,neutral,f,ukrainian,украинка
identity,ethnicity,neutral,m,ukrainian,украинец
identity,ethnicity,neutral,f,uzbek,узбечка
identity,ethnicity,neutral,m,uzbek,узбек
identity,ethnicity,neutral,m,tatar,татарин
identity,regional_identity,neutral,m,Primorets,приморец
identity,religion,neutral,m,protestant,протестант
identity,religion,neutral,f,protestant,протестантка
identity,religion,neutral,n,pentecostal,пятидесятник
identity,age,neutral,m,child,ребенок
identity,ethnicity,neutral,f,turkmen,туркменка
identity,religion,neutral,n,Rodnoverie,родновер
identity,regional_identity,neutral,f,resident of Rostov,ростовчанка
identity,ethnicity,neutral,f,russian,русская
identity,ethnicity,neutral,m,russian,русский
identity,regional_identity,neutral,m,resident of Ryazan,рязанец
identity,regional_identity,neutral,f,resident of Ryazan,рязанка
identity,regional_identity,neutral,m,Siberian,сибиряк
identity,regional_identity,neutral,f,Siberian,сибирячка
identity,religion,neutral,m,sikh,сикх
identity,religion,neutral,m,Shinto,синтоист
identity,religion,neutral,f,sintoistka,синтоистка
identity,disability,neutral,f,visually impaired,слабовидящая
identity,disability,neutral,m,visually impaired,слабовидящий
identity,disability,neutral,f,hearing,слабослышащая
identity,disability,neutral,m,hard-of-hearing,слабослышащий
identity,regional_identity,neutral,m,resident of Rostov,ростовчанин
identity,sexuality,neutral,n,LGBT,ЛГБТ
identity,gender,neutral,f,nonbinary,небинарная
identity,regional_identity,neutral,f,resident of Yaroslavl,ярославка
identity,age,neutral,f,mature,зрелая
identity,disability,neutral,n,autistic,аутист
identity,sexuality,neutral,m,autosexual,аутосексуал
identity,gender,neutral,f,female,женщина
identity,ethnicity,neutral,f,Europeans,европейка
identity,disability,neutral,m,deaf,неслышащий
identity,ethnicity,neutral,m,European,европеец
identity,ethnicity,neutral,f,jewish,еврейка
identity,age,neutral,m,mature,зрелый
identity,ethnicity,neutral,m,jewish,еврей
identity,disability,neutral,f,insane,душевнобольная
identity,age,neutral,n,child,дитя
identity,gender,neutral,n,demigender,демигендер
identity,age,neutral,m,granddad,дедушка
identity,age,neutral,f,girl,девушка
identity,age,neutral,f,girl,девочка
identity,disability,neutral,n,down,даун
identity,religion,neutral,m,taoist,даосист
identity,disability,neutral,m,insane,душевнобольной
identity,religion,neutral,f,atheist,атеистка
identity,disability,neutral,n,disabled,инвалид
identity,ethnicity,neutral,m,Indian,индиец
identity,ethnicity,neutral,f,Canadian,канадка
identity,sexuality,neutral,m,asexual,асексуал
identity,sexuality,neutral,f,asexual,асексуалка
identity,ethnicity,neutral,m,Canadian,канадец
identity,regional_identity,neutral,f,resident of Kaluga,калужанка
identity,regional_identity,neutral,m,resident of Kaluga,калужанин
identity,ethnicity,neutral,f,kazakh,казашка
identity,ethnicity,neutral,m,kazakh,казах
identity,regional_identity,neutral,m,Caucasian,кавказец
identity,religion,neutral,f,jew,иудейка
identity,religion,neutral,m,jew,иудей
identity,religion,neutral,f,jewish,иудаистка
identity,religion,neutral,m,jewish,иудаист
identity,ethnicity,neutral,f,Spaniard,испанка
identity,ethnicity,neutral,m,Hispanic,испанец
identity,religion,neutral,m,atheist,атеист
identity,religion,neutral,f,Hindu,индуистка
identity,religion,neutral,m,Hindu,индуист
identity,ethnicity,neutral,f,indiyka,индийка
identity,ethnicity,neutral,f,dagestani,дагестанка
identity,ethnicity,neutral,m,dagestani,дагестанец
identity,ethnicity,neutral,f,georgian,грузинка
identity,ethnicity,neutral,m,georgian,грузин
identity,religion,neutral,f,Baptist,баптистка
identity,age,neutral,m,adult,взрослый
identity,age,neutral,f,adult,взрослая
identity,ethnicity,neutral,m,bashkir,башкир
identity,ethnicity,neutral,f,bashkir,башкирка
identity,ethnicity,neutral,f,buryatka,бурятка
identity,ethnicity,neutral,m,Buryat,бурят
identity,religion,neutral,f,buddhist,буддистка
identity,religion,neutral,m,buddhist,буддист
identity,ethnicity,neutral,f,white,белая
identity,ethnicity,neutral,m,belorussian,белорус
identity,ethnicity,neutral,f,belorussian,белоруска
identity,sexuality,neutral,f,bisexual,бисексуалка
identity,sexuality,neutral,m,bisexual,бисексуал
identity,gender,neutral,n,bigender,бигендер
identity,sexuality,neutral,m,bi-curious,би-любопытный
identity,sexuality,neutral,f,bi-curious,би-любопытная
identity,sexuality,neutral,n,bi,би
identity,ethnicity,neutral,m,white,белый
identity,religion,neutral,m,baptist,баптист
identity,religion,neutral,m,catholic,католик
identity,regional_identity,neutral,m,resident of Vladimir,владимирец
identity,regional_identity,neutral,m,resident of Volgograd,волгоградец
identity,sexuality,neutral,f,autosexual,аутосексуалка
identity,regional_identity,neutral,m,Highlander,горец
identity,sexuality,neutral,f,homosexual,гомосексуалка
identity,sexuality,neutral,m,homosexual,гомосексуалист
identity,sexuality,neutral,m,homosexual,гомосексуал
identity,disability,neutral,m,deaf,глухой
identity,ethnicity,neutral,m,African,африканец
identity,disability,neutral,f,deaf,глухая
identity,ethnicity,neutral,f,African,африканка
identity,ethnicity,neutral,m,African American,афроамериканец
identity,sexuality,neutral,f,straight,гетеросексуалка
identity,sexuality,neutral,m,heterosexual,гетеросексуалист
identity,sexuality,neutral,m,straight,гетеросексуал
identity,ethnicity,neutral,n,genderqueer,гендерквир
identity,gender,neutral,n,gender fluid,гендер-флюид
identity,sexuality,neutral,m,gay,гей
identity,ethnicity,neutral,f,African American,афроамериканка
identity,age,neutral,f,grandmother,бабушка
identity,regional_identity,neutral,f,resident of Volgograd,волгоградка
identity,regional_identity,neutral,f,resident of Vladimir,владимирка
identity,religion,neutral,f,catholic,католичка
identity,disability,neutral,n,asthmatic,астматик
identity,ethnicity,neutral,m,kyrgyz,киргиз
identity,regional_identity,neutral,m,muscovite,москвич
identity,religion,neutral,f,mormon,мормонка
identity,religion,neutral,m,mormon,мормон
identity,ethnicity,neutral,f,mordvin ,мордвинка
identity,ethnicity,neutral,m,mordvin ,мордвин
identity,age,neutral,m,youthy,молодящийся
identity,age,neutral,f,youthy,молодящаяся
identity,age,neutral,m,young,молодой
identity,ethnicity,neutral,m,American,американец
identity,age,neutral,f,young,молодая
identity,ethnicity,neutral,m,moldovan,молдаванин
identity,age,neutral,n,baby,младенец
identity,age,neutral,m,millenial,миллениал
identity,sexuality,neutral,n,queer,квир
identity,ethnicity,neutral,m,Mexican,мексиканец
identity,age,neutral,m,boy,мальчик
identity,ethnicity,neutral,f,American,американка
identity,disability,neutral,n,amputee,ампутант
identity,ethnicity,neutral,f,moldovan,молдаванка
identity,ethnicity,neutral,f,lithuanian,литовка
identity,regional_identity,neutral,f,muscovite,москвичка
identity,religion,neutral,m,muslim,мусульманин
identity,disability,neutral,m,dumb,немой
identity,disability,neutral,f,mute,немая
identity,disability,neutral,m,blind,незрячий
identity,disability,neutral,f,blind,незрячая
identity,religion,neutral,m,adventist,адвентист
identity,religion,neutral,f,adventist,адвентистка
identity,disability,neutral,m,nonspeaking,неговорящий
identity,disability,neutral,f,nonspeaking,неговорящая
identity,gender,neutral,m,male,мужчина
identity,gender,neutral,m,nonbinary,небинарный
identity,gender,neutral,n,nonbinary,небинарное
identity,regional_identity,neutral,m,resident of Yaroslavl,ярославец
identity,gender,neutral,n,nonbinary,небинар
identity,sexuality,neutral,n,straight,натурал
identity,ethnicity,neutral,f,azerbaijanian,азербайджанка
identity,ethnicity,neutral,m,Asian,азиат
identity,ethnicity,neutral,f,Asian,азиатка
identity,religion,neutral,f,muslim,мусульманка
identity,ethnicity,neutral,m,azerbaijanian,азербайджанец
identity,ethnicity,neutral,m,lithuanian,литовец
identity,ethnicity,neutral,f,Mexican,мексиканка
identity,sexuality,neutral,f,lesbian,лесбиянка
identity,ethnicity,neutral,f,armenian,армянка
identity,ethnicity,neutral,m,Chinese,китаец
identity,ethnicity,neutral,m,latvian,латыш
identity,ethnicity,neutral,f,Latina,латиноамериканка
identity,ethnicity,neutral,m,Hispanic,латиноамериканец
identity,religion,neutral,f,krishnaitka,кришнаитка
identity,sexuality,neutral,f,antisexual,антисексуалка
identity,religion,neutral,m,Krishna,кришнаит
identity,regional_identity,neutral,f,resident of Krasnodar,краснодарка
identity,regional_identity,neutral,m,resident of Krasnodar,краснодарец
identity,ethnicity,neutral,f,Korean,кореянка
identity,ethnicity,neutral,m,Korean,кореец
identity,ethnicity,neutral,f,arabian,арабка
identity,ethnicity,neutral,f,Chinese,китаянка
identity,ethnicity,neutral,m,arabian,араб
identity,sexuality,neutral,m,antisexual,антисексуал
identity,ethnicity,neutral,m,armenian,армянин
identity,gender,neutral,n,androgyne,андрогин
identity,sexuality,neutral,n,lgbtq,лгбти
identity,sexuality,neutral,n,lgbt,лгбт
identity,ethnicity,neutral,f,kyrgyz,киргизка
identity,ethnicity,neutral,f,latvian,латышка
occupation,,neutral,m,lawyer,юрист
occupation,,neutral,m,farmer,фермер
occupation,,neutral,f,yuristkoy,юристка
occupation,,neutral,m,artist,артист
occupation,,neutral,m,janitor,уборщик
occupation,,neutral,f,factory worker,рабочая
occupation,,neutral,f,janitor,уборщица
occupation,,neutral,m,computer programmer,программист
occupation,,neutral,m,barber,барбер
occupation,,neutral,m,factory worker,рабочий
occupation,,neutral,f,artist,артистка
occupation,,neutral,f,nanny,няня
occupation,,neutral,n,architect,архитектор
occupation,,neutral,f,farmer,фермерша
occupation,,neutral,n,web designer,веб-дизайнер
occupation,,neutral,m,lawyer,адвокат
occupation,,neutral,m,concierge,консьерж
occupation,,neutral,f,sales person,продавщица
occupation,,neutral,n,reporter,репортер
occupation,,neutral,m,sales person,продавец
occupation,,neutral,n,scientist,ученый
occupation,,neutral,m,actor,актер
occupation,,neutral,m,doctor,врач
occupation,,neutral,f,servicewoman,военнослужащая
occupation,,neutral,f,artist,художница
occupation,,neutral,m,artist,художник
occupation,,neutral,n,doctor,доктор
occupation,,neutral,m,designer,дизайнер
occupation,,neutral,n,reporter,журналист
occupation,,neutral,n,machinist,машинист
occupation,,neutral,m,nurse,медбрат
occupation,,neutral,n,hairstylist,стилист
occupation,,neutral,f,authoress,писательница
occupation,,neutral,m,writer,писатель
occupation,,neutral,m,nurse,медсестра
occupation,,neutral,m,driver,водитель
occupation,,neutral,n,manager,менеджер
occupation,,neutral,m,police officer,полицейский
occupation,,neutral,f,dancer,танцовщица
occupation,,neutral,m,dancer,танцор
occupation,,neutral,m,barber,парикмахер
occupation,,neutral,m,coal miner,шахтер
occupation,,neutral,n,engineer,инженер
occupation,,neutral,f,actress,актриса
occupation,,neutral,n,fire fighter,пожарный
occupation,,neutral,m,secretary,секретарь
occupation,,neutral,f,concierge,консьержка
occupation,,neutral,m,serviceman,военнослужащий
occupation,,neutral,f,barber,парикмахерша
occupation,,neutral,m,photographer,фотограф
verb,,neutral,n,grab,хватать
verb,,neutral,n,praise,хвалить
verb,,neutral,n,kiss,целовать
verb,,neutral,n,value,ценить
verb,,toxic,n,hate,ненавидеть
verb,,toxic,n,destroy,уничтожить
verb,,toxic,n,castrate,кастрировать
verb,,neutral,n,accost,приставать
verb,,toxic,n,add on,прирезать
verb,,toxic,n,murder,прикончить
verb,,neutral,n,critisize,критиковать
verb,,neutral,n,shout,кричать
verb,,neutral,n,promote,поощрять
verb,,neutral,n,understand,понимать
verb,,neutral,n,help,помогать
verb,,neutral,n,love,любить
verb,,neutral,n,support,поддерживать
verb,,toxic,n,poison,отравить
verb,,toxic,n,people marked,отметелить
verb,,neutral,n,hope,надеяться
verb,,toxic,n,nakostylyat,накостылять
verb,,neutral,n,rape,насиловать
verb,,toxic,n,set on,натравить
verb,,neutral,n,blame,осуждать
verb,,toxic,n,outrage,оскорбить
verb,,neutral,n,approve,одобрять
verb,,neutral,n,hug,обнять
verb,,neutral,n,hug,обнимать
verb,,neutral,n,like,нравиться
verb,,neutral,n,please,радовать
verb,,neutral,n,bash,бить
verb,,neutral,n,entertain,развлекать
verb,,neutral,n,destroy,разрушать
verb,,toxic,n,humiliate,унизить
verb,,neutral,n,improve,улучшать
verb,,neutral,n,thank,благодарить
verb,,neutral,n,inspire,вдохновлять
verb,,neutral,n,believe,верить
verb,,neutral,n,respect,уважать
verb,,toxic,n,kill,убить
verb,,neutral,n,kill,убивать
verb,,neutral,n,inspire,воодушевлять
verb,,neutral,n,laugh at,высмеивать
verb,,toxic,n,mock,глумиться
verb,,neutral,n,push,толкать
verb,,neutral,n,bear,терпеть
verb,,neutral,n,be rude,грубить
verb,,neutral,n,molest,домогаться
verb,,neutral,n,make friends,дружить
verb,,neutral,n,care,заботиться
verb,,neutral,n,secure,защищать
verb,,toxic,n,clobber,избить
verb,,toxic,n,rape,изнасиловать
verb,,toxic,n,disfigure,изуродовать
verb,,toxic,n,cripple,искалечить
verb,,neutral,n,abuse,ругать
verb,,neutral,n,talk,разговаривать
verb,,neutral,n,empathize,сопереживать
